ID|CRC32|MD5|SHA1
SCPS-10031|f97c52c|3792049f01c7345ae3a8f3a28ad83083|49df131571e4bf6c7142a3515589174e820606f3
SCPS-10118|8df339ee|91bf940996cb806e6dbb53834a2816ee|7ace30fad8ef23c52c22514e36f3d167368d226f
SCPS-10047|58b36273|84ac4bb3a8783f1dcc9afb742973ba84|8a6074f4aa7ce09b7902068f8efd287d35fc0436
SLPS-00950|93a39fb7|4642194a227bc02feca3ccd3510dcde8|c466baedcca6e00ab42a08f3fbe9d51608f9fcfc
SCPS-10140|6b66648f|e3838d9527c85b8e2b4ca6006dc3d548|8846b2299fb21d68c303415ab4a3bc4f053bf520
SLPM-86456|8f36b3fa|dac30d89093d9614451f59647d4d2301|1723facbb23140713f3b7eab7ff8b05bea4d3a54
SLPS-00040|ac7714ad|78ef8690cee6ec9c8d888254f2008a8a|394f53622b0465dcd8edb2e0cad35ef7387f18aa
SLPS-01300|19287598|8dbd260d57e5a0ab8908b0b034cc05d8|445dae1a2ae4249c56c4b752e50725b91fc27ee3
SCPS-10073|e1394031|edc5fb31d73feb80d95345543d4424fb|7a62ca8705c4ad12d40aa2165a4d122c14a18363
SLPS-00300|f2701555|423e57d0aab463a6a0126439eba6667e|51ad52307a459acf50664500a345ede9152519d6
SCES-00602|0ec64711|9b837fa8e54e10af6572e91dd30070ad|47abb93f34811f69f53fe0a4e20d19108bf94a96
SLES-04164|d1140f3f|1eadf395ff025c0ca47b92d96c4ba4db|f78e2b6007920cfd5ac7cf1f88cb68771154505
SLES-03499|63b30533|193f3f9777fe384cba73e2edb0604352|b909f292332dd46a19268087dfa9d33db361ae3f
SLES-04170|e7c930a2|5deddc6271d3c2b7a00ac13bb3c84856|600167260bb1cc9c29db203f307c3845a84bd3b3
SLES-02866|93d20e6f|e51a248337423be26bea3561f3c02779|36525bb4b290e6048cd41486cf180fd02a786256
SLES-00198|cddc9fdd|32aa78e9ea04ec0b056b6d7716cbf45f|3ec6c572b39e0ab7b19cd24e24e1e2b74b903d8f
SLES-03630|0ba2b491|fe53c9955231ca2de199ce0e64cf1196|6b9a4ceaa9fa22b12b7f97cab4b15c891553abc5
SLES-01247|134c67bf|8a7c38ec772c0fc15a56ab09a743ec83|159e813a9945fdf5f1788f8b30e66446e0e25ae7
SLES-03804|58e654c8|bff22273b6575180361e081031f55fdc|8f2b48bacad54deef6ea47f3ba2f540b62cdb23c
SLES-03591|9b594fdd|f62c749d8cde89ec0a0f36ad4e3de962|69f8959ca95ef501add0bc51033d76822dde291e
SLES-00327|ac2a98de|3ac0687e70b02a62586592002b31053b|e39df5af0c6bc1a958e0082af7621c2826814502
SCES-01909|b64e349f|c938ef0f987e8dda965055975e5fb620|6d602710a38afa577e10a6046b12fbb3f55be9d4
SLES-03594|a81ba194|c28709a96ef6239ce6a8777309413df0|db97281dd0e07aef189afce0f7da1e876e6b44f0
SLES-01333|3fa2ed27|9ed153409a4402ae84a71b9b6659744b|175ccf198ffe28bd3d22493ef761a0e1faea0243
SLES-02193|867f391f|92e1ac76430dad9f5152052283d04ced|4da28ccfd0a53e84dfcc62810ae27c288a1c887
SCES-02845|78dd1918|464ee179832a71ea88c8cfec35df8a75|a9d5415a7edca19503675b8f5e4344b71e5e1bb0
SLES-02619|78384df1|1a623956d08cae3561641eda348044ba|404513f499a8a799e357a28cd821825b486b4af5
