ID|REDUMP_NAME
SLPM-80238|'98 Koushien (Japan) (Demo)
SLPS-01204|'98 Koushien - Koukou Yakyuu Simulation (Japan)
SLPS-02110|'99 Koushien (Japan)
SLPM-80421|'99 Koushien (Japan) (Taikenban)
SLPS-00965|...Iru! (Japan)
SLPS-01311|0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan)
SLPS-01986|0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)
SLES-02375|007 - Demain ne Meurt Jamais (France)
SLES-02376|007 - Der Morgen Stirbt Nie (Germany)
SLES-03136|007 - Die Welt Ist Nicht Genug (Germany)
SLES-03137|007 - El Mundo Nunca es Suficiente (Spain)
SLES-03135|007 - Le Monde ne Suffit Pas (France)
SLES-03134|007 - The World Is Not Enough (Europe)
SLES-03138|007 - The World Is Not Enough (Sweden)
SLUS-01272|007 - The World Is Not Enough (USA)
SLUS-00978|007 - The World Is Not Enough (USA) (Beta)
SLPS-02604|007 - Tomorrow Never Dies (Japan)
SLUS-00975|007 - Tomorrow Never Dies (USA)
SLES-03355|007 Racing (Europe)
SLES-03356|007 Racing (France)
SLES-03357|007 Racing (Germany)
SLUS-01300|007 Racing (USA)
SLPS-01706|1 on 1 (Japan)
SLPM-80351|1 on 1 (Japan) (Demo)
SLPS-01730|100 Man Yen Quiz Hunter (Japan)
SLES-03784|100% Star (Europe)
SLES-03658|100% Star (France)
SLPS-01054|10101 - Will the Starship (Japan)
SLPM-80643|10th Anniversary Memorial Save Data (Japan) (Disc 1) (PlayStation Taiou)
SLPS-01865|19 ji 03 pun - Ueno-hatsu Yakou Ressha (Japan)
SLPM-80181|19 ji 03 pun - Ueno-hatsu Yakou Ressha (Japan) (Taikenban)
SCUS-94503|1Xtreme (USA)
SLPS-02466|2 Demos in 1 - Driver - You Are the Wheelman + V-Rally - Championship Edition 2 (Japan)
SLPS-91416|20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan)
SLES-03830|2002 FIFA World Cup (Europe) (En,Sv)
SLES-03831|2002 FIFA World Cup (France)
SLES-03832|2002 FIFA World Cup (Germany)
SLES-03833|2002 FIFA World Cup (Italy)
SLES-03834|2002 FIFA World Cup (Spain)
SLUS-01449|2002 FIFA World Cup (USA) (En,Es)
SCES-00400|2Xtreme (Europe)
SCUS-94508|2Xtreme (USA)
SLES-03120|3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)
SLES-02089|360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)
SLUS-00066|3D Baseball (USA)
SLPS-00693|3D Baseball - The Majors (Japan)
SLPS-01434|3D Kakutou Tkool (Japan)
SCES-00009|3D Lemmings (Europe)
SIPS-60002|3D Lemmings (Japan)
SCUS-94601|3D Lemmings (USA)
SLPS-00461|3D Mission Shooting - Finalist (Japan)
SLPS-00654|3D Shooting Tkool (Japan)
SCPS-18006|3D-Kaleidoscope - Baby Universe (Japan)
SCUS-94231|3Xtreme (USA)
SCUS-94365|3Xtreme (USA) (Demo)
SLPS-00071|3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1)
SLPS-00072|3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2)
SLPS-01497|3x3 Eyes - Tenrinou Genmu (Japan) (Disc 1)
SLPS-01498|3x3 Eyes - Tenrinou Genmu (Japan) (Disc 2)
SLPS-01499|3x3 Eyes - Tenrinou Genmu (Japan) (Disc 3)
SLES-00095|4-4-2 Soccer (Europe) (En,Fr,De,Es)
SLES-01937|40 Winks (Europe)
SLED-02435|40 Winks (Europe) (Demo)
SLES-01940|40 Winks (Italy)
SLES-01941|40 Winks (Spain)
SLUS-00874|40 Winks (USA)
SLES-02017|4x4 World Trophy (Europe) (En,Fr,De,Es,It)
SLES-04064|5 Star Racing (Europe)
SLPM-80387|70's Robot Anime - Geppy-X (Japan) (Demo)
SLPS-01995|70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)
SLPS-01996|70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 2)
SLPS-01997|70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 3)
SLPS-01998|70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4)
SLPS-00004|A Ressha de Ikou 4 - Evolution (Japan)
SLPS-00011|A Ressha de Ikou 4 - Evolution (Japan) (Gentei Set)
SLPS-00125|A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De)
SLPS-91019|A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De) (PlayStation the Best)
